id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
1,2645195,1,,7,,1,False,0,False,2026-08-21T19:00:00Z,Gameweek 1,True,2,1
20,2645206,2,,1,,2,False,0,False,2026-08-31T19:00:00Z,Gameweek 2,False,4,1
29,2645215,1,,6,,3,False,0,False,2026-09-06T15:30:00Z,Gameweek 3,True,4,1
36,2645233,20,,1,,4,False,0,False,2026-09-12T19:00:00Z,Gameweek 4,False,3,1
42,2645237,5,,1,,5,False,0,False,2026-09-19T14:00:00Z,Gameweek 5,False,3,1
51,2645245,1,,13,,6,False,0,False,2026-10-10T14:00:00Z,Gameweek 6,True,2,1
69,2645263,18,,1,,7,False,0,False,2026-10-17T14:00:00Z,Gameweek 7,False,3,1
71,2645265,1,,9,,8,False,0,False,2026-10-24T14:00:00Z,Gameweek 8,True,3,1
87,2645281,14,,1,,9,False,0,False,2026-10-31T15:00:00Z,Gameweek 9,False,4,1
91,2645285,1,,11,,10,False,0,False,2026-11-07T15:00:00Z,Gameweek 10,True,2,1
109,2645303,17,,1,,11,False,0,False,2026-11-21T15:00:00Z,Gameweek 11,False,3,1
111,2645305,1,,15,,12,False,0,False,2026-11-28T15:00:00Z,Gameweek 12,True,4,1
123,2645317,4,,1,,13,False,0,False,2026-12-02T20:00:00Z,Gameweek 13,False,3,1
140,2645334,19,,1,,14,False,0,False,2026-12-05T15:00:00Z,Gameweek 14,False,3,1
141,2645335,1,,3,,15,False,0,False,2026-12-12T15:00:00Z,Gameweek 15,True,3,1
151,2645346,1,,16,,16,False,0,False,2026-12-19T15:00:00Z,Gameweek 16,True,4,1
163,2645357,8,,1,,17,False,0,False,2026-12-26T15:00:00Z,Gameweek 17,False,3,1
175,2645369,10,,1,,18,False,0,False,2026-12-30T20:00:00Z,Gameweek 18,False,3,1
181,2645376,1,,12,,19,False,0,False,2027-01-02T15:00:00Z,Gameweek 19,True,2,1
191,2645385,1,,4,,20,False,0,False,2027-01-06T20:00:00Z,Gameweek 20,True,3,1
206,2645400,11,,1,,21,False,0,False,2027-01-16T15:00:00Z,Gameweek 21,False,2,1
211,2645405,1,,17,,22,False,0,False,2027-01-23T15:00:00Z,Gameweek 22,True,2,1
228,2645422,15,,1,,23,False,0,False,2027-01-30T15:00:00Z,Gameweek 23,False,5,1
231,2645425,1,,14,,24,False,0,False,2027-02-06T15:00:00Z,Gameweek 24,True,4,1
247,2645441,12,,1,,25,False,0,False,2027-02-10T20:00:00Z,Gameweek 25,False,2,1
251,2645446,1,,10,,26,False,0,False,2027-02-20T15:00:00Z,Gameweek 26,True,2,1
268,2645462,16,,1,,27,False,0,False,2027-02-27T15:00:00Z,Gameweek 27,False,4,1
271,2645466,1,,8,,28,False,0,False,2027-03-03T20:00:00Z,Gameweek 28,True,3,1
283,2645477,6,,1,,29,False,0,False,2027-03-13T15:00:00Z,Gameweek 29,False,4,1
291,2645485,1,,20,,30,False,0,False,2027-03-20T15:00:00Z,Gameweek 30,True,2,1
304,2645498,7,,1,,31,False,0,False,2027-04-10T14:00:00Z,Gameweek 31,False,2,1
311,2645505,1,,2,,32,False,0,False,2027-04-17T14:00:00Z,Gameweek 32,True,3,1
322,2645515,3,,1,,33,False,0,False,2027-04-24T14:00:00Z,Gameweek 33,False,3,1
331,2645525,1,,19,,34,False,0,False,2027-05-01T14:00:00Z,Gameweek 34,True,3,1
346,2645540,13,,1,,35,False,0,False,2027-05-08T14:00:00Z,Gameweek 35,False,3,1
351,2645545,1,,18,,36,False,0,False,2027-05-15T14:00:00Z,Gameweek 36,True,3,1
364,2645558,9,,1,,37,False,0,False,2027-05-23T14:00:00Z,Gameweek 37,False,3,1
371,2645565,1,,5,,38,False,0,False,2027-05-30T15:00:00Z,Gameweek 38,True,2,1
1,2645195,1,,7,,1,False,0,False,2026-08-21T19:00:00Z,Gameweek 1,True,2,2
20,2645206,2,,1,,2,False,0,False,2026-08-31T19:00:00Z,Gameweek 2,False,4,2
29,2645215,1,,6,,3,False,0,False,2026-09-06T15:30:00Z,Gameweek 3,True,4,2
36,2645233,20,,1,,4,False,0,False,2026-09-12T19:00:00Z,Gameweek 4,False,3,2
42,2645237,5,,1,,5,False,0,False,2026-09-19T14:00:00Z,Gameweek 5,False,3,2
51,2645245,1,,13,,6,False,0,False,2026-10-10T14:00:00Z,Gameweek 6,True,2,2
69,2645263,18,,1,,7,False,0,False,2026-10-17T14:00:00Z,Gameweek 7,False,3,2
71,2645265,1,,9,,8,False,0,False,2026-10-24T14:00:00Z,Gameweek 8,True,3,2
87,2645281,14,,1,,9,False,0,False,2026-10-31T15:00:00Z,Gameweek 9,False,4,2
91,2645285,1,,11,,10,False,0,False,2026-11-07T15:00:00Z,Gameweek 10,True,2,2
109,2645303,17,,1,,11,False,0,False,2026-11-21T15:00:00Z,Gameweek 11,False,3,2
111,2645305,1,,15,,12,False,0,False,2026-11-28T15:00:00Z,Gameweek 12,True,4,2
123,2645317,4,,1,,13,False,0,False,2026-12-02T20:00:00Z,Gameweek 13,False,3,2
140,2645334,19,,1,,14,False,0,False,2026-12-05T15:00:00Z,Gameweek 14,False,3,2
141,2645335,1,,3,,15,False,0,False,2026-12-12T15:00:00Z,Gameweek 15,True,3,2
151,2645346,1,,16,,16,False,0,False,2026-12-19T15:00:00Z,Gameweek 16,True,4,2
163,2645357,8,,1,,17,False,0,False,2026-12-26T15:00:00Z,Gameweek 17,False,3,2
175,2645369,10,,1,,18,False,0,False,2026-12-30T20:00:00Z,Gameweek 18,False,3,2
181,2645376,1,,12,,19,False,0,False,2027-01-02T15:00:00Z,Gameweek 19,True,2,2
191,2645385,1,,4,,20,False,0,False,2027-01-06T20:00:00Z,Gameweek 20,True,3,2
206,2645400,11,,1,,21,False,0,False,2027-01-16T15:00:00Z,Gameweek 21,False,2,2
211,2645405,1,,17,,22,False,0,False,2027-01-23T15:00:00Z,Gameweek 22,True,2,2
228,2645422,15,,1,,23,False,0,False,2027-01-30T15:00:00Z,Gameweek 23,False,5,2
231,2645425,1,,14,,24,False,0,False,2027-02-06T15:00:00Z,Gameweek 24,True,4,2
247,2645441,12,,1,,25,False,0,False,2027-02-10T20:00:00Z,Gameweek 25,False,2,2
251,2645446,1,,10,,26,False,0,False,2027-02-20T15:00:00Z,Gameweek 26,True,2,2
268,2645462,16,,1,,27,False,0,False,2027-02-27T15:00:00Z,Gameweek 27,False,4,2
271,2645466,1,,8,,28,False,0,False,2027-03-03T20:00:00Z,Gameweek 28,True,3,2
283,2645477,6,,1,,29,False,0,False,2027-03-13T15:00:00Z,Gameweek 29,False,4,2
291,2645485,1,,20,,30,False,0,False,2027-03-20T15:00:00Z,Gameweek 30,True,2,2
304,2645498,7,,1,,31,False,0,False,2027-04-10T14:00:00Z,Gameweek 31,False,2,2
311,2645505,1,,2,,32,False,0,False,2027-04-17T14:00:00Z,Gameweek 32,True,3,2
322,2645515,3,,1,,33,False,0,False,2027-04-24T14:00:00Z,Gameweek 33,False,3,2
331,2645525,1,,19,,34,False,0,False,2027-05-01T14:00:00Z,Gameweek 34,True,3,2
346,2645540,13,,1,,35,False,0,False,2027-05-08T14:00:00Z,Gameweek 35,False,3,2
351,2645545,1,,18,,36,False,0,False,2027-05-15T14:00:00Z,Gameweek 36,True,3,2
364,2645558,9,,1,,37,False,0,False,2027-05-23T14:00:00Z,Gameweek 37,False,3,2
371,2645565,1,,5,,38,False,0,False,2027-05-30T15:00:00Z,Gameweek 38,True,2,2
1,2645195,1,,7,,1,False,0,False,2026-08-21T19:00:00Z,Gameweek 1,True,2,3
20,2645206,2,,1,,2,False,0,False,2026-08-31T19:00:00Z,Gameweek 2,False,4,3
29,2645215,1,,6,,3,False,0,False,2026-09-06T15:30:00Z,Gameweek 3,True,4,3
36,2645233,20,,1,,4,False,0,False,2026-09-12T19:00:00Z,Gameweek 4,False,3,3
42,2645237,5,,1,,5,False,0,False,2026-09-19T14:00:00Z,Gameweek 5,False,3,3
51,2645245,1,,13,,6,False,0,False,2026-10-10T14:00:00Z,Gameweek 6,True,2,3
69,2645263,18,,1,,7,False,0,False,2026-10-17T14:00:00Z,Gameweek 7,False,3,3
71,2645265,1,,9,,8,False,0,False,2026-10-24T14:00:00Z,Gameweek 8,True,3,3
87,2645281,14,,1,,9,False,0,False,2026-10-31T15:00:00Z,Gameweek 9,False,4,3
91,2645285,1,,11,,10,False,0,False,2026-11-07T15:00:00Z,Gameweek 10,True,2,3
109,2645303,17,,1,,11,False,0,False,2026-11-21T15:00:00Z,Gameweek 11,False,3,3
111,2645305,1,,15,,12,False,0,False,2026-11-28T15:00:00Z,Gameweek 12,True,4,3
123,2645317,4,,1,,13,False,0,False,2026-12-02T20:00:00Z,Gameweek 13,False,3,3
140,2645334,19,,1,,14,False,0,False,2026-12-05T15:00:00Z,Gameweek 14,False,3,3
141,2645335,1,,3,,15,False,0,False,2026-12-12T15:00:00Z,Gameweek 15,True,3,3
151,2645346,1,,16,,16,False,0,False,2026-12-19T15:00:00Z,Gameweek 16,True,4,3
163,2645357,8,,1,,17,False,0,False,2026-12-26T15:00:00Z,Gameweek 17,False,3,3
175,2645369,10,,1,,18,False,0,False,2026-12-30T20:00:00Z,Gameweek 18,False,3,3
181,2645376,1,,12,,19,False,0,False,2027-01-02T15:00:00Z,Gameweek 19,True,2,3
191,2645385,1,,4,,20,False,0,False,2027-01-06T20:00:00Z,Gameweek 20,True,3,3
206,2645400,11,,1,,21,False,0,False,2027-01-16T15:00:00Z,Gameweek 21,False,2,3
211,2645405,1,,17,,22,False,0,False,2027-01-23T15:00:00Z,Gameweek 22,True,2,3
228,2645422,15,,1,,23,False,0,False,2027-01-30T15:00:00Z,Gameweek 23,False,5,3
231,2645425,1,,14,,24,False,0,False,2027-02-06T15:00:00Z,Gameweek 24,True,4,3
247,2645441,12,,1,,25,False,0,False,2027-02-10T20:00:00Z,Gameweek 25,False,2,3
