team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
11,Leeds,LEE,4,2.0,1,3,Burnley (H) | Spurs (A) | Brighton (H) | West Ham (A)
1,Arsenal,ARS,4,2.25,1,3,Fulham (H) | West Ham (A) | Burnley (H) | Crystal Palace (A)
6,Brighton,BHA,4,2.5,1,3,Newcastle (A) | Wolves (H) | Leeds (A) | Man Utd (H)
7,Chelsea,CHE,4,2.75,2,4,Nott'm Forest (H) | Liverpool (A) | Sunderland (A) | Spurs (H)
9,Everton,EVE,4,2.75,2,4,Man City (H) | Crystal Palace (A) | Sunderland (H) | Spurs (A)
15,Newcastle,NEW,4,2.75,2,3,Brighton (H) | Nott'm Forest (A) | West Ham (H) | Fulham (A)
17,Sunderland,SUN,4,2.75,2,3,Wolves (A) | Man Utd (H) | Everton (A) | Chelsea (H)
20,Wolves,WOL,4,2.75,2,4,Sunderland (H) | Brighton (A) | Fulham (H) | Burnley (A)
2,Aston Villa,AVL,4,3.0,2,5,Spurs (H) | Burnley (A) | Liverpool (H) | Man City (A)
3,Burnley,BUR,4,3.0,1,5,Leeds (A) | Aston Villa (H) | Arsenal (A) | Wolves (H)
13,Man City,MCI,5,3.0,3,3,Everton (A) | Brentford (H) | Aston Villa (H) | Crystal Palace (H) | Bournemouth (A)
14,Man Utd,MUN,5,3.0,2,4,Brentford (H) | Liverpool (H) | Sunderland (A) | Nott'm Forest (H) | Brighton (A)
18,Spurs,TOT,4,3.0,2,4,Aston Villa (A) | Leeds (H) | Everton (H) | Chelsea (A)
19,West Ham,WHU,4,3.0,2,4,Brentford (A) | Arsenal (H) | Newcastle (A) | Leeds (H)
4,Bournemouth,BOU,4,3.25,3,4,Crystal Palace (H) | Fulham (A) | Nott'm Forest (A) | Man City (H)
10,Fulham,FUL,4,3.25,2,5,Arsenal (A) | Bournemouth (H) | Wolves (A) | Newcastle (H)
16,Nott'm Forest,NFO,4,3.25,3,4,Chelsea (A) | Newcastle (H) | Man Utd (A) | Bournemouth (H)
12,Liverpool,LIV,4,3.5,3,4,Man Utd (A) | Chelsea (H) | Aston Villa (A) | Brentford (H)
5,Brentford,BRE,5,3.6,2,5,Man Utd (A) | West Ham (H) | Man City (A) | Crystal Palace (H) | Liverpool (A)
8,Crystal Palace,CRY,5,3.6,3,5,Bournemouth (A) | Everton (H) | Brentford (A) | Arsenal (H) | Man City (A)
