id,web_name,team_name,team_short_name,element_type,now_cost,form,points_per_game,total_points,selected_by_percent,minutes,goals_scored,assists,clean_sheets,bonus,status
515,Gibbs-White,Nott'm Forest,NFO,3,7.6,11.7,4.9,168,10.2,2901,13,3,10,16,a
606,Mavropanos,West Ham,WHU,2,4.5,10.3,4.0,108,2.0,2172,3,0,5,5,a
698,Okafor,Leeds,LEE,3,5.5,10.3,3.7,99,1.8,1489,7,3,5,9,a
411,O'Reilly,Man City,MCI,2,5.1,9.0,4.9,152,15.1,2373,5,4,13,10,a
624,Bowen,West Ham,WHU,4,7.8,8.7,5.0,169,14.6,3049,8,12,7,25,a
260,Guéhi,Man City,MCI,2,5.1,7.7,5.1,158,32.8,2790,3,4,12,13,a
242,Dewsbury-Hall,Everton,EVE,3,5.1,7.7,5.2,140,5.8,2276,8,6,8,18,a
417,Cherki,Man City,MCI,3,6.4,7.7,4.4,123,11.0,1546,4,11,8,16,a
526,Igor Jesus,Nott'm Forest,NFO,4,5.9,7.7,3.2,104,1.8,1993,5,6,9,13,a
148,F.Kadıoğlu,Brighton,BHA,2,4.4,7.3,3.3,108,0.7,2770,1,2,9,7,a
783,Groß,Brighton,BHA,3,5.5,7.3,4.3,65,1.9,1276,1,5,5,9,a
373,Virgil,Liverpool,LIV,2,6.2,7.0,4.6,156,33.7,3060,4,1,10,10,a
406,Khusanov,Man City,MCI,2,5.4,7.0,3.1,56,0.6,1157,0,0,5,3,a
64,Watkins,Aston Villa,AVL,4,8.8,6.7,3.9,129,15.9,2533,11,3,9,17,a
568,Pedro Porro,Spurs,TOT,2,5.2,6.7,3.4,103,10.8,2433,1,3,8,7,a
173,Wieffer,Brighton,BHA,3,4.9,6.7,3.8,91,0.6,1794,2,4,6,6,a
706,Justin,Leeds,LEE,2,3.9,6.7,3.2,81,1.5,1533,2,1,5,9,a
381,M.Salah,Liverpool,LIV,3,14.0,6.3,4.6,116,14.8,2055,7,6,7,10,d
314,Leno,Fulham,FUL,1,4.9,6.3,3.2,108,1.9,3060,0,0,8,8,a
500,Osula,Newcastle,NEW,4,5.4,6.3,2.5,50,0.5,519,4,1,1,7,a
257,Lacroix,Crystal Palace,CRY,2,5.1,6.0,4.7,146,5.3,2755,1,2,11,11,a
317,Andersen,Fulham,FUL,2,4.5,6.0,3.9,122,4.6,2741,0,1,8,8,a
508,N.Williams,Nott'm Forest,NFO,2,4.8,6.0,3.7,122,4.6,2888,2,3,9,15,a
815,Disasi,West Ham,WHU,2,4.5,6.0,3.9,39,0.2,900,0,0,5,1,a
407,Matheus N.,Man City,MCI,2,5.3,5.7,4.8,145,2.9,2534,1,8,11,16,a
