team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
7,Coventry City,COV,5,2.4,2,3,Newcastle (H) | Spurs (A) | Fulham (H) | Sunderland (H) | Everton (A)
10,Fulham,FUL,5,2.4,2,4,Ipswich Town (A) | Hull City (H) | Coventry City (A) | Aston Villa (A) | Newcastle (H)
20,Sunderland,SUN,5,2.6,2,4,Brighton (H) | Bournemouth (A) | Leeds (H) | Coventry City (A) | Chelsea (H)
1,Arsenal,ARS,5,2.8,2,4,Leeds (H) | Nott'm Forest (A) | Everton (H) | Liverpool (A) | Hull City (H)
3,Bournemouth,BOU,5,2.8,2,4,Chelsea (A) | Sunderland (H) | Man Utd (A) | Leeds (H) | Ipswich Town (A)
17,Newcastle,NEW,5,2.8,2,3,Coventry City (A) | Aston Villa (H) | Crystal Palace (A) | Everton (H) | Fulham (A)
8,Crystal Palace,CRY,5,3.0,2,4,Nott'm Forest (H) | Brighton (A) | Newcastle (H) | Spurs (A) | Liverpool (H)
12,Ipswich Town,IPS,5,3.0,2,5,Fulham (H) | Man City (A) | Nott'm Forest (H) | Hull City (A) | Bournemouth (H)
15,Man City,MCI,5,3.0,2,4,Liverpool (A) | Ipswich Town (H) | Aston Villa (A) | Brighton (H) | Nott'm Forest (A)
2,Aston Villa,AVL,5,3.2,2,4,Brentford (H) | Newcastle (A) | Man City (H) | Fulham (H) | Man Utd (A)
4,Brentford,BRE,5,3.2,2,4,Aston Villa (A) | Liverpool (H) | Hull City (A) | Nott'm Forest (H) | Brighton (A)
6,Chelsea,CHE,5,3.2,3,4,Bournemouth (H) | Everton (A) | Spurs (H) | Man Utd (H) | Sunderland (A)
9,Everton,EVE,5,3.2,2,5,Hull City (A) | Chelsea (H) | Arsenal (A) | Newcastle (A) | Coventry City (H)
11,Hull City,HUL,5,3.2,2,5,Everton (H) | Fulham (A) | Brentford (H) | Ipswich Town (H) | Arsenal (A)
14,Liverpool,LIV,5,3.2,2,4,Man City (H) | Brentford (A) | Brighton (H) | Arsenal (H) | Crystal Palace (A)
16,Man Utd,MUN,5,3.2,3,4,Spurs (H) | Leeds (A) | Bournemouth (H) | Chelsea (A) | Aston Villa (H)
18,Nott'm Forest,NFO,5,3.2,2,4,Crystal Palace (A) | Arsenal (H) | Ipswich Town (A) | Brentford (A) | Man City (H)
19,Spurs,TOT,5,3.2,2,4,Man Utd (A) | Coventry City (H) | Chelsea (A) | Crystal Palace (H) | Leeds (A)
5,Brighton,BHA,5,3.6,3,5,Sunderland (A) | Crystal Palace (H) | Liverpool (A) | Man City (A) | Brentford (H)
13,Leeds,LEE,5,3.6,3,5,Arsenal (A) | Man Utd (H) | Sunderland (A) | Bournemouth (A) | Spurs (H)
