id,web_name,team_name,team_short_name,element_type,now_cost,cost_change_event,cost_change_start
2,Arrizabalaga,Arsenal,ARS,1,5.0,0,0
452,Bruno G.,Arsenal,ARS,3,6.8,-1,-2
8,Calafiori,Arsenal,ARS,2,5.6,0,1
20,Dowman,Arsenal,ARS,3,5.4,0,-1
14,Eze,Arsenal,ARS,3,6.4,-1,-1
23,Fábio Vieira,Arsenal,ARS,3,5.5,0,0
27,G.Jesus,Arsenal,ARS,4,5.9,-1,-1
4,Gabriel,Arsenal,ARS,2,8.0,0,0
25,Gyökeres,Arsenal,ARS,4,7.3,-1,-2
26,Havertz,Arsenal,ARS,4,7.5,0,0
9,Hincapie,Arsenal,ARS,2,5.4,0,-1
5,J.Timber,Arsenal,ARS,2,6.5,0,0
31,Konsa,Arsenal,ARS,2,4.4,-1,-1
7,Lewis-Skelly,Arsenal,ARS,3,5.5,0,0
16,Madueke,Arsenal,ARS,3,6.4,0,-1
18,Martinelli,Arsenal,ARS,3,6.3,-1,-2
17,Merino,Arsenal,ARS,3,5.9,-1,-1
3,Meslier,Arsenal,ARS,1,5.0,0,0
11,Mosquera,Arsenal,ARS,2,5.5,0,0
24,Nelson,Arsenal,ARS,3,5.5,0,0
22,Nwaneri,Arsenal,ARS,3,5.4,-1,-1
1,Raya,Arsenal,ARS,1,6.0,0,0
13,Rice,Arsenal,ARS,3,7.5,0,0
12,Saka,Arsenal,ARS,3,9.5,0,0
6,Saliba,Arsenal,ARS,2,6.0,0,0
557,Tzolis,Arsenal,ARS,3,6.5,0,0
10,White,Arsenal,ARS,2,5.5,0,0
19,Zubimendi,Arsenal,ARS,3,5.4,-1,-1
15,Ødegaard,Arsenal,ARS,3,6.6,0,1
38,A.García,Aston Villa,AVL,2,4.0,0,0
56,Abraham,Aston Villa,AVL,4,5.5,0,0
52,Alysson,Aston Villa,AVL,3,5.0,0,0
44,Bailey,Aston Villa,AVL,3,5.4,-1,-1
46,Barkley,Aston Villa,AVL,3,5.0,0,0
35,Bogarde,Aston Villa,AVL,3,5.0,0,0
41,Buendía,Aston Villa,AVL,3,6.0,0,0
50,Burrowes,Aston Villa,AVL,3,4.5,0,0
32,Cash,Aston Villa,AVL,2,4.5,0,0
30,Digne,Aston Villa,AVL,2,4.5,0,0
160,Garnacho,Aston Villa,AVL,3,5.9,-1,-1
51,George Hemmings,Aston Villa,AVL,3,4.5,0,0
54,Gomes,Aston Villa,AVL,3,5.5,0,0
618,Goretzka,Aston Villa,AVL,3,6.0,0,0
630,Harwood-Bellis,Aston Villa,AVL,2,4.5,0,0
49,Iling Jr,Aston Villa,AVL,3,5.0,0,0
47,Kamara,Aston Villa,AVL,3,5.0,0,0
37,Lindelöf,Aston Villa,AVL,2,4.5,0,0
607,Lynch,Aston Villa,AVL,3,4.5,0,0
29,M.Bizot,Aston Villa,AVL,1,4.5,0,0
36,Maatsen,Aston Villa,AVL,2,4.5,0,0
582,Madjo,Aston Villa,AVL,4,5.5,0,0
53,Manzambi,Aston Villa,AVL,3,5.9,-1,-1
631,Mbaye,Aston Villa,AVL,3,6.0,0,0
45,McGinn,Aston Villa,AVL,3,5.5,0,0
33,Mings,Aston Villa,AVL,2,4.5,0,0
166,N.Jackson,Aston Villa,AVL,4,6.5,0,0
39,Nedeljkovic,Aston Villa,AVL,2,4.0,0,0
48,Onana,Aston Villa,AVL,3,5.0,0,0
34,Pau,Aston Villa,AVL,2,4.5,0,0
606,Rowe,Aston Villa,AVL,2,4.0,0,0
596,Ruggeri,Aston Villa,AVL,2,4.5,0,0
597,Suzuki,Aston Villa,AVL,1,5.0,0,0
611,Wan-Bissaka,Aston Villa,AVL,2,4.5,0,0
55,Watkins,Aston Villa,AVL,4,7.8,-1,-2
73,Adams,Bournemouth,BOU,3,5.0,0,0
77,Adli,Bournemouth,BOU,3,4.9,-1,-1
74,Brooks,Bournemouth,BOU,3,5.0,0,0
75,Christie,Bournemouth,BOU,3,5.0,0,0
71,Cook,Bournemouth,BOU,3,5.0,0,0
59,Dennis,Bournemouth,BOU,1,4.0,0,0
615,Di Gregorio,Bournemouth,BOU,1,4.5,0,0
62,Diakité,Bournemouth,BOU,2,5.0,0,0
80,Enes Ünal,Bournemouth,BOU,4,5.5,0,0
79,Evanilson,Bournemouth,BOU,4,6.0,0,0
58,Forster,Bournemouth,BOU,1,4.0,0,0
72,Gannon-Doak,Bournemouth,BOU,3,5.0,0,0
60,Hill,Bournemouth,BOU,2,5.5,0,0
65,J.Araujo,Bournemouth,BOU,2,4.5,0,0
608,Jebbison,Bournemouth,BOU,4,5.0,0,0
70,Kluivert,Bournemouth,BOU,3,6.0,0,0
78,Kroupi.Jr,Bournemouth,BOU,3,7.4,-1,-1
63,Milosavljević,Bournemouth,BOU,2,5.0,0,0
57,Petrović,Bournemouth,BOU,1,4.5,0,0
67,Rayan,Bournemouth,BOU,3,6.5,0,0
81,Rodríguez,Bournemouth,BOU,4,6.0,0,0
573,Sanchez,Bournemouth,BOU,2,4.5,0,0
