team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
17,Newcastle,NEW,5,2.6,2,3,Bournemouth (H) | Leeds (A) | Hull City (H) | Coventry City (A) | Aston Villa (H)
2,Aston Villa,AVL,5,2.8,2,3,Hull City (A) | Nott'm Forest (H) | Spurs (A) | Brentford (H) | Newcastle (A)
5,Brighton,BHA,5,2.8,2,4,Leeds (H) | Coventry City (A) | Arsenal (H) | Sunderland (A) | Crystal Palace (H)
8,Crystal Palace,CRY,5,2.8,2,3,Fulham (A) | Ipswich Town (H) | Leeds (A) | Nott'm Forest (H) | Brighton (A)
14,Liverpool,LIV,5,2.8,2,4,Ipswich Town (A) | Fulham (H) | Bournemouth (A) | Man City (H) | Brentford (A)
15,Man City,MCI,5,2.8,2,4,Coventry City (H) | Man Utd (A) | Sunderland (H) | Liverpool (A) | Ipswich Town (H)
1,Arsenal,ARS,5,3.0,2,4,Chelsea (H) | Sunderland (A) | Brighton (A) | Leeds (H) | Nott'm Forest (A)
7,Coventry City,COV,5,3.0,2,5,Man City (A) | Brighton (H) | Nott'm Forest (A) | Newcastle (H) | Spurs (A)
9,Everton,EVE,5,3.0,2,4,Man Utd (H) | Spurs (A) | Ipswich Town (H) | Hull City (A) | Chelsea (H)
10,Fulham,FUL,5,3.0,2,4,Crystal Palace (H) | Liverpool (A) | Man Utd (H) | Ipswich Town (A) | Hull City (H)
19,Spurs,TOT,5,3.0,2,4,Nott'm Forest (A) | Everton (H) | Aston Villa (H) | Man Utd (A) | Coventry City (H)
3,Bournemouth,BOU,5,3.2,2,4,Newcastle (A) | Brentford (H) | Liverpool (H) | Chelsea (A) | Sunderland (H)
6,Chelsea,CHE,5,3.2,2,5,Arsenal (A) | Hull City (H) | Brentford (A) | Bournemouth (H) | Everton (A)
11,Hull City,HUL,5,3.2,3,4,Aston Villa (H) | Chelsea (A) | Newcastle (A) | Everton (H) | Fulham (A)
16,Man Utd,MUN,5,3.2,3,4,Everton (A) | Man City (H) | Fulham (A) | Spurs (H) | Leeds (A)
18,Nott'm Forest,NFO,5,3.2,2,4,Spurs (H) | Aston Villa (A) | Coventry City (H) | Crystal Palace (A) | Arsenal (H)
4,Brentford,BRE,5,3.4,2,4,Sunderland (H) | Bournemouth (A) | Chelsea (H) | Aston Villa (A) | Liverpool (H)
12,Ipswich Town,IPS,5,3.4,2,5,Liverpool (H) | Crystal Palace (A) | Everton (A) | Fulham (H) | Man City (A)
13,Leeds,LEE,5,3.4,2,5,Brighton (A) | Newcastle (H) | Crystal Palace (H) | Arsenal (A) | Man Utd (H)
20,Sunderland,SUN,5,3.4,2,5,Brentford (A) | Arsenal (H) | Man City (A) | Brighton (H) | Bournemouth (A)
