team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
1,Arsenal,ARS,0,,,,
2,Aston Villa,AVL,0,,,,
4,Bournemouth,BOU,0,,,,
5,Brentford,BRE,0,,,,
6,Brighton,BHA,0,,,,
3,Burnley,BUR,0,,,,
7,Chelsea,CHE,0,,,,
8,Crystal Palace,CRY,0,,,,
9,Everton,EVE,0,,,,
10,Fulham,FUL,0,,,,
11,Leeds,LEE,0,,,,
12,Liverpool,LIV,0,,,,
13,Man City,MCI,0,,,,
14,Man Utd,MUN,0,,,,
15,Newcastle,NEW,0,,,,
16,Nott'm Forest,NFO,0,,,,
18,Spurs,TOT,0,,,,
17,Sunderland,SUN,0,,,,
19,West Ham,WHU,0,,,,
20,Wolves,WOL,0,,,,
