team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
2,Aston Villa,AVL,5,2.4,2,3,Sunderland (H) | Fulham (A) | Spurs (H) | Burnley (A) | Liverpool (H)
11,Leeds,LEE,5,2.4,1,4,Man Utd (A) | Wolves (H) | Bournemouth (A) | Burnley (H) | Spurs (A)
6,Brighton,BHA,5,2.6,2,3,Spurs (A) | Chelsea (H) | Newcastle (A) | Wolves (H) | Leeds (A)
1,Arsenal,ARS,5,2.8,1,5,Man City (A) | Newcastle (H) | Fulham (H) | West Ham (A) | Burnley (H)
9,Everton,EVE,5,2.8,2,4,Liverpool (H) | West Ham (A) | Man City (H) | Crystal Palace (A) | Sunderland (H)
14,Man Utd,MUN,5,2.8,2,3,Leeds (H) | Chelsea (A) | Brentford (H) | Liverpool (H) | Sunderland (A)
16,Nott'm Forest,NFO,5,2.8,1,4,Burnley (H) | Sunderland (A) | Chelsea (A) | Newcastle (H) | Man Utd (A)
18,Spurs,TOT,5,2.8,2,4,Brighton (H) | Wolves (A) | Aston Villa (A) | Leeds (H) | Chelsea (A)
17,Sunderland,SUN,5,2.8,2,4,Aston Villa (A) | Nott'm Forest (H) | Wolves (A) | Man Utd (H) | Everton (A)
20,Wolves,WOL,5,2.8,2,4,Leeds (A) | Spurs (H) | Sunderland (H) | Brighton (A) | Fulham (H)
4,Bournemouth,BOU,5,3.0,2,4,Newcastle (A) | Leeds (H) | Crystal Palace (H) | Fulham (A) | Man City (H)
7,Chelsea,CHE,5,3.0,2,4,Man Utd (H) | Brighton (A) | Nott'm Forest (H) | Liverpool (A) | Spurs (H)
8,Crystal Palace,CRY,5,3.0,2,4,West Ham (H) | Liverpool (A) | Bournemouth (A) | Everton (H) | Brentford (A)
13,Man City,MCI,5,3.0,2,4,Arsenal (H) | Burnley (A) | Everton (A) | Brentford (H) | Bournemouth (A)
10,Fulham,FUL,5,3.2,2,5,Brentford (A) | Aston Villa (H) | Arsenal (A) | Bournemouth (H) | Wolves (A)
15,Newcastle,NEW,5,3.2,2,5,Bournemouth (H) | Arsenal (A) | Brighton (H) | Nott'm Forest (A) | West Ham (H)
19,West Ham,WHU,5,3.2,3,4,Crystal Palace (A) | Everton (H) | Brentford (A) | Arsenal (H) | Newcastle (A)
5,Brentford,BRE,5,3.4,2,5,Fulham (H) | Man Utd (A) | West Ham (H) | Man City (A) | Crystal Palace (H)
12,Liverpool,LIV,5,3.4,3,4,Everton (A) | Crystal Palace (H) | Man Utd (A) | Chelsea (H) | Aston Villa (A)
3,Burnley,BUR,5,3.6,3,5,Nott'm Forest (A) | Man City (H) | Leeds (A) | Aston Villa (H) | Arsenal (A)
