id,web_name,team_name,team_short_name,element_type,now_cost,form,points_per_game,total_points,selected_by_percent,minutes,goals_scored,assists,clean_sheets,bonus,status
64,Watkins,Aston Villa,AVL,4,8.7,8.0,4.5,167,13.0,2833,16,4,9,26,a
449,B.Fernandes,Man Utd,MUN,3,10.4,7.2,6.7,235,48.0,3065,9,24,7,41,a
72,Senesi,Bournemouth,BOU,2,5.2,7.0,4.7,175,22.0,3288,0,6,11,14,a
517,Anderson,Nott'm Forest,NFO,3,5.7,6.8,4.7,180,9.4,3332,4,5,10,16,a
74,Truffert,Bournemouth,BOU,2,4.8,6.5,4.3,165,5.3,3378,1,6,11,19,a
5,Gabriel,Arsenal,ARS,2,7.3,6.4,6.5,209,45.4,2750,3,5,18,30,a
1,Raya,Arsenal,ARS,1,6.2,6.2,4.4,162,36.4,3330,0,0,19,11,a
547,E.Le Fée,Sunderland,SUN,3,4.8,6.2,4.1,147,1.6,2930,5,6,10,16,a
237,Enzo,Chelsea,CHE,3,6.5,6.0,4.4,157,12.3,3114,10,5,8,19,a
673,J.Palhinha,Spurs,TOT,3,5.5,6.0,3.8,126,0.9,2192,5,3,5,17,a
418,Doku,Man City,MCI,3,6.5,6.0,4.0,120,6.6,1773,5,8,8,15,a
694,Mukiele,Sunderland,SUN,2,4.6,5.8,4.7,151,8.7,2784,3,5,9,11,a
624,Bowen,West Ham,WHU,4,7.8,5.6,4.9,187,17.5,3406,9,13,8,28,a
500,Osula,Newcastle,NEW,4,5.5,5.6,3.2,76,2.1,805,7,1,2,13,a
691,Calvert-Lewin,Leeds,LEE,4,5.8,5.5,4.1,142,13.7,2721,14,2,8,20,a
807,Rayan,Bournemouth,BOU,3,5.4,5.5,4.5,67,2.3,1110,5,2,6,3,a
430,Haaland,Man City,MCI,4,14.7,5.4,6.8,239,62.5,2953,27,8,13,43,a
387,Szoboszlai,Liverpool,LIV,3,7.1,5.4,4.4,160,15.1,3232,6,7,9,21,a
442,Maguire,Man Utd,MUN,2,4.4,5.4,3.9,90,1.7,1649,1,2,7,5,a
6,Saliba,Arsenal,ARS,2,6.3,5.2,4.4,137,17.1,2614,1,0,15,12,a
515,Gibbs-White,Nott'm Forest,NFO,3,7.6,5.0,5.1,188,9.2,3101,15,4,10,18,a
83,O.Dango,Brentford,BRE,3,5.6,5.0,4.2,136,1.6,2271,7,8,6,16,a
443,Shaw,Man Utd,MUN,2,4.5,5.0,3.0,113,1.1,3220,1,1,10,3,a
77,Hill,Bournemouth,BOU,2,4.2,5.0,3.8,110,7.4,2102,0,3,8,4,a
163,Hinshelwood,Brighton,BHA,3,5.2,5.0,3.4,91,1.6,1736,4,5,7,2,a
291,Tarkowski,Everton,EVE,2,5.8,4.8,4.6,170,12.6,3330,2,3,11,12,a
16,Saka,Arsenal,ARS,3,10.0,4.8,5.1,157,11.6,2218,7,10,12,18,a
597,Richarlison,Spurs,TOT,4,6.5,4.8,3.7,119,8.7,1954,11,4,7,17,a
344,Bijol,Leeds,LEE,2,3.9,4.8,4.0,99,1.3,1888,1,3,5,6,a
458,Mainoo,Man Utd,MUN,3,4.7,4.8,2.6,73,1.4,1653,1,2,6,2,a
73,Smith,Bournemouth,BOU,2,4.4,4.8,2.6,58,0.2,1073,0,2,6,4,a
527,Awoniyi,Nott'm Forest,NFO,4,5.2,4.8,2.5,43,0.4,480,4,2,1,4,a
373,Virgil,Liverpool,LIV,2,6.1,4.6,4.6,175,31.5,3420,6,1,10,10,a
568,Pedro Porro,Spurs,TOT,2,5.2,4.6,3.4,117,11.7,2793,1,3,9,8,a
67,Petrović,Bournemouth,BOU,1,4.6,4.5,3.3,124,5.2,3420,0,0,11,5,a
100,Kroupi.Jr,Bournemouth,BOU,4,4.7,4.5,3.4,113,7.6,1663,13,0,10,13,a
146,Dunk,Brighton,BHA,2,4.5,4.5,3.0,100,1.0,2837,1,1,7,5,a
145,De Cuyper,Brighton,BHA,2,4.3,4.5,2.8,84,1.7,1404,2,3,5,9,a
119,Mbeumo,Man Utd,MUN,3,8.3,4.4,4.5,148,15.0,2611,11,3,8,16,a
388,C.Jones,Liverpool,LIV,3,5.4,4.4,2.4,81,0.1,1923,1,3,3,6,a
570,Danso,Spurs,TOT,2,4.2,4.4,2.6,63,0.2,1489,0,0,4,1,a
82,Semenyo,Man City,MCI,3,8.0,4.2,5.5,202,46.2,3200,17,6,12,18,a
260,Guéhi,Man City,MCI,2,5.1,4.2,5.1,179,32.6,3150,3,5,14,14,a
101,Kelleher,Brentford,BRE,1,4.8,4.2,3.9,143,12.0,3330,0,0,10,11,a
84,Tavernier,Bournemouth,BOU,3,5.3,4.2,4.0,137,4.2,2732,7,4,11,14,a
708,M.Fernandes,West Ham,WHU,3,5.5,4.2,3.8,135,0.6,3017,3,4,8,7,a
354,Ampadu,Leeds,LEE,3,4.9,4.2,3.8,134,0.6,3119,1,4,8,11,a
666,Gyökeres,Arsenal,ARS,4,9.1,4.2,3.6,128,16.4,2217,14,1,12,16,a
668,Xhaka,Sunderland,SUN,3,5.1,4.2,3.6,124,3.2,2901,1,6,9,8,a
314,Leno,Fulham,FUL,1,5.0,4.2,3.2,122,2.3,3420,0,0,9,8,a
532,Hume,Sunderland,SUN,2,4.5,4.2,2.9,110,0.3,3032,2,1,9,6,a
733,Lammens,Man Utd,MUN,1,5.1,4.2,3.4,109,3.6,2880,0,0,8,11,a
386,Mac Allister,Liverpool,LIV,3,6.1,4.2,2.9,108,1.8,2654,2,5,7,9,a
215,Flemming,Burnley,BUR,4,5.3,4.2,3.4,99,0.8,1764,11,0,3,11,a
126,Jensen,Brentford,BRE,3,4.9,4.2,2.7,98,0.1,2239,3,2,9,1,a
441,Dorgu,Man Utd,MUN,2,4.1,4.2,3.7,95,2.4,1440,4,4,4,11,a
341,Darlow,Leeds,LEE,1,4.0,4.2,3.2,71,6.9,1980,0,0,5,3,a
316,Robinson,Fulham,FUL,2,4.9,4.2,3.0,65,0.9,1487,1,0,4,7,a
319,Castagne,Fulham,FUL,2,4.3,4.2,2.0,61,0.2,1838,0,2,3,3,a
210,Tchaouna,Burnley,BUR,3,4.8,4.2,2.0,59,0.0,1259,2,2,2,0,a
