id,name,deadline_time,release_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,overrides,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2025-08-15T17:30:00Z,,54,True,True,3772644,1755279000,0,127,False,False,False,False,False,False,False,True,9469118,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 342779}, {'chip_name': '3xc', 'num_played': 272642}]",235,1,531,"{'id': 531, 'points': 17}",0,381,235
2,Gameweek 2,2025-08-22T17:30:00Z,,51,True,True,2963810,1755883800,0,140,False,False,False,True,True,False,False,True,10752422,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 206501}, {'chip_name': 'freehit', 'num_played': 159592}, {'chip_name': 'wildcard', 'num_played': 433085}, {'chip_name': '3xc', 'num_played': 267066}]",235,427,8,"{'id': 8, 'points': 24}",18178809,381,235
3,Gameweek 3,2025-08-30T10:00:00Z,,48,True,True,4374360,1756548000,0,118,False,False,False,True,True,False,False,True,11304791,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 181694}, {'chip_name': 'freehit', 'num_played': 392607}, {'chip_name': 'wildcard', 'num_played': 714353}, {'chip_name': '3xc', 'num_played': 327492}]",249,82,260,"{'id': 260, 'points': 15}",27802596,430,381
4,Gameweek 4,2025-09-13T10:00:00Z,,63,True,True,7997042,1757757600,0,139,False,False,False,True,True,False,False,True,11641518,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 151177}, {'chip_name': 'freehit', 'num_played': 245615}, {'chip_name': 'wildcard', 'num_played': 936058}, {'chip_name': '3xc', 'num_played': 265597}]",249,419,26,"{'id': 26, 'points': 16}",27408255,381,249
5,Gameweek 5,2025-09-20T10:00:00Z,,42,True,True,9985225,1758362400,0,112,False,False,False,True,True,False,False,True,11803614,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 231274}, {'chip_name': 'freehit', 'num_played': 140350}, {'chip_name': 'wildcard', 'num_played': 465965}, {'chip_name': '3xc', 'num_played': 121906}]",249,82,660,"{'id': 660, 'points': 15}",16533109,381,249
6,Gameweek 6,2025-09-27T10:00:00Z,,46,True,True,11887643,1758967200,0,124,False,False,False,True,True,False,False,True,11930431,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 157915}, {'chip_name': 'freehit', 'num_played': 178069}, {'chip_name': 'wildcard', 'num_played': 750713}, {'chip_name': '3xc', 'num_played': 812259}]",249,430,683,"{'id': 683, 'points': 17}",22147208,430,249
7,Gameweek 7,2025-10-03T17:30:00Z,,60,True,True,5563383,1759512600,0,135,False,False,False,True,True,False,False,True,12032746,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 170965}, {'chip_name': 'freehit', 'num_played': 130694}, {'chip_name': 'wildcard', 'num_played': 475622}, {'chip_name': '3xc', 'num_played': 187661}]",249,430,82,"{'id': 82, 'points': 18}",16350776,430,381
8,Gameweek 8,2025-10-18T10:00:00Z,,56,True,True,7646584,1760781600,0,138,False,False,False,True,True,False,False,True,12155114,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 289156}, {'chip_name': 'freehit', 'num_played': 99534}, {'chip_name': 'wildcard', 'num_played': 409816}, {'chip_name': '3xc', 'num_played': 217287}]",430,714,225,"{'id': 225, 'points': 18}",16106510,430,82
9,Gameweek 9,2025-10-24T17:30:00Z,,46,True,True,956028,1761327000,0,124,False,False,False,True,True,False,False,True,12213493,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 229184}, {'chip_name': 'freehit', 'num_played': 81276}, {'chip_name': 'wildcard', 'num_played': 236682}, {'chip_name': '3xc', 'num_played': 104043}]",430,714,575,"{'id': 575, 'points': 23}",12369350,430,82
10,Gameweek 10,2025-11-01T13:30:00Z,,65,True,True,6474767,1762003800,0,135,False,False,False,True,True,False,False,True,12281789,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 185060}, {'chip_name': 'freehit', 'num_played': 140256}, {'chip_name': 'wildcard', 'num_played': 209733}, {'chip_name': '3xc', 'num_played': 138936}]",430,119,169,"{'id': 169, 'points': 16}",14380415,430,82
