can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,price_change_hourly_rate,price_change_projections,price_change_locked_until,price_change_calibrating,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,team_short_name
True,True,,,154561,0,0,0,0,7.6,514,"[{'offset': 0, 'projected_percent': '8.7', 'likelihood': 1}, {'offset': 1, 'projected_percent': '15.5', 'likelihood': 1}, {'offset': 2, 'projected_percent': '22.3', 'likelihood': 2}]",,False,0,1,5.0,5.0,3,David,5.0,1,False,,,6.0,154561.jpg,5.0,False,Raya Martín,38.6,False,,a,1,3,15,370493,58811,352468,41762,0.8,2.5,Raya,,200.0,2024-07-04,1995-09-15,False,p154561,270,0,0,2,1,0,0,0,0,0,5,0,60,17.4,0.0,0.0,1.8,4,30,0,0,3,0.00,0.00,0.00,0.88,,,,,,,[],,194,20,635,71,630,71,267,20,0.0,1.67,0.0,0.0,0.29,0.33,61,1,50,3,55,4,6,1,1.0,0.67,0.0,Arsenal,ARS
True,True,,,109745,-1,1,-1,1,-3.2,-14,"[{'offset': 0, 'projected_percent': '-5.8', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-21.0', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-36.1', 'likelihood': -2}]",,False,0,1,0.0,0.0,0,Kepa,0.0,2,False,,,4.9,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.1,False,,a,1,3,0,1053,132,2868,265,0.0,0.0,Arrizabalaga,,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,493,65,494,52,439,51,502,65,0.0,0.0,0.0,0.0,0.0,0.0,380,18,531,65,531,65,461,52,0.0,0.0,0.0,Arsenal,ARS
True,True,,,437495,-1,1,-1,1,-3.7,-8,"[{'offset': 0, 'projected_percent': '-7.3', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-27.9', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-48.5', 'likelihood': -3}]",,False,0,1,0.0,0.0,0,Illan,0.0,3,False,,,4.9,437495.jpg,0.0,False,Meslier,0.0,False,,a,1,3,0,327,54,1066,115,0.0,0.0,Meslier,,73.0,2026-07-09,2000-03-02,False,p437495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,502,66,503,54,451,53,512,66,0.0,0.0,0.0,0.0,0.0,0.0,395,20,538,66,538,66,539,61,0.0,0.0,0.0,Arsenal,ARS
True,True,,,226597,0,0,0,0,-46.4,-1861,"[{'offset': 0, 'projected_percent': '-48.2', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-58.3', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-68.4', 'likelihood': -3}]",,False,0,2,5.0,5.0,2,Gabriel,5.0,4,False,,,8.0,226597.jpg,5.0,False,dos Santos Magalhães,25.3,False,,a,1,3,15,119958,14310,530315,60565,0.6,1.9,Gabriel,Gabriel Magalhães,30.0,2020-09-01,1997-12-19,False,p226597,270,0,0,2,1,0,0,0,1,0,0,0,54,24.8,5.0,7.0,3.6,19,11,2,21,3,0.49,0.05,0.54,0.88,,,,,,,[],,154,69,210,67,182,61,207,81,0.16,0.0,0.02,0.18,0.29,0.33,7,1,54,21,59,23,10,2,1.0,0.67,7.0,Arsenal,ARS
True,True,25.0,25.0,445122,0,0,0,0,-0.2,0,"[{'offset': 0, 'projected_percent': '-0.2', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-0.2', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-0.2', 'likelihood': -1}]",2026-09-12T14:30:08.374304Z,False,0,2,0.0,0.0,0,Jurriën,0.0,5,False,Groin injury - 25% chance of playing,2026-07-23T12:01:23.272929Z,6.5,445122.jpg,0.0,False,Timber,0.1,False,,d,1,3,0,1217,267,6039,494,0.0,0.0,J.Timber,Jurriën Timber,152.0,2023-07-14,2001-06-17,False,p445122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.arsenal.com/news/every-word-from-artetas-pre-chelsea-presser-avVsQ4u1mzAa,647,214,647,214,646,214,647,214,0.0,0.0,0.0,0.0,0.0,0.0,40,3,649,214,649,214,452,160,0.0,0.0,0.0,Arsenal,ARS
True,True,0.0,0.0,462424,0,0,0,0,-92.9,-47,"[{'offset': 0, 'projected_percent': '-94.6', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-104.9', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-115.2', 'likelihood': -5}]",,False,0,2,0.0,0.0,0,William,0.0,6,False,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,6.0,462424.jpg,0.0,False,Saliba,0.2,False,,i,1,3,0,2291,343,13628,1330,0.0,0.0,Saliba,,73.0,2019-07-25,2001-03-24,False,p462424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.arsenal.com/news/arteta-issues-update-on-bruno-timber-and-saliba-aKfIr6V2lm7B?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_content=home&utm_term=live-bar,636,213,637,213,632,213,637,213,0.0,0.0,0.0,0.0,0.0,0.0,74,8,641,213,641,213,325,118,0.0,0.0,0.0,Arsenal,ARS
True,True,,,499169,0,0,0,0,-9.0,-73,"[{'offset': 0, 'projected_percent': '-11.5', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-25.8', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-40.1', 'likelihood': -3}]",,False,0,3,2.7,2.7,2,Myles,2.7,7,False,,,5.5,499169.jpg,2.7,False,Lewis-Skelly,0.7,False,,a,1,3,8,21026,2484,25212,2671,0.5,1.5,Lewis-Skelly,,241.0,2022-12-04,2006-09-26,False,p499169,226,0,0,2,1,0,0,0,0,0,0,0,35,21.6,26.1,12.0,6.0,5,8,1,14,3,0.16,0.23,0.39,0.77,,,,,,,[],,171,64,99,61,133,68,146,71,0.06,0.0,0.09,0.15,0.31,0.4,175,107,138,59,153,64,227,74,1.19,0.8,5.58,Arsenal,ARS
True,True,,,466075,0,0,2,-2,47.2,4210,"[{'offset': 0, 'projected_percent': '56.8', 'likelihood': 3}, {'offset': 1, 'projected_percent': '112.5', 'likelihood': 5}, {'offset': 2, 'projected_percent': '168.2', 'likelihood': 5}]",,False,1,2,7.3,7.3,2,Riccardo,7.3,8,False,,,5.7,466075.jpg,7.3,False,Calafiori,46.6,False,,a,1,3,22,954134,128550,179149,18960,1.3,3.9,Calafiori,,106.0,2024-07-29,2002-05-19,False,p466075,236,0,2,2,1,0,0,0,0,0,0,2,61,47.2,24.1,13.0,8.4,6,6,3,9,3,0.59,0.58,1.17,0.63,,,,,,,[],,69,28,110,34,126,40,89,28,0.22,0.0,0.22,0.44,0.24,0.38,117,11,14,6,15,6,4,1,1.14,0.76,3.43,Arsenal,ARS
True,True,,,448104,-1,1,-2,2,-8.7,-264,"[{'offset': 0, 'projected_percent': '-12.0', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-30.8', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-49.6', 'likelihood': -3}]",,False,0,2,0.7,0.7,1,Piero,0.7,9,False,,,5.3,448104.jpg,1.0,False,Hincapié,1.1,False,,a,1,3,2,9710,1375,82597,5910,0.1,0.4,Hincapie,,62.0,2026-07-01,2002-01-09,False,p448104,32,0,0,0,0,0,0,0,0,0,0,0,6,0.4,0.5,0.0,0.1,2,0,1,3,0,0.00,0.00,0.00,0.26,,,,,,,[],,333,124,310,116,560,205,346,123,0.0,0.0,0.0,0.0,0.73,0.0,236,34,313,115,327,126,179,71,0.0,0.0,8.44,Arsenal,ARS
True,True,100.0,100.0,198869,0,0,0,0,71.1,281,"[{'offset': 0, 'projected_percent': '71.7', 'likelihood': 3}, {'offset': 1, 'projected_percent': '75.4', 'likelihood': 3}, {'offset': 2, 'projected_percent': '79.2', 'likelihood': 3}]",,False,0,2,6.7,6.7,2,Benjamin,6.7,10,False,,2026-07-23T12:01:23.305229Z,5.5,198869.jpg,6.7,False,White,7.7,False,,a,1,3,20,346883,38647,169482,27051,1.2,3.6,White,,241.0,2021-07-30,1997-10-08,False,p198869,270,0,1,2,1,0,0,0,0,0,0,3,74,49.6,47.1,13.0,11.0,11,9,4,15,3,0.18,0.29,0.47,0.88,,,,,,,[],,59,22,35,7,124,39,56,12,0.06,0.0,0.1,0.16,0.29,0.33,134,15,26,12,27,12,56,22,1.0,0.67,5.0,Arsenal,ARS
True,True,75.0,75.0,500040,0,0,0,0,-104.2,-3110,"[{'offset': 0, 'projected_percent': '-114.3', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-172.2', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-230.2', 'likelihood': -5}]",,False,0,2,3.0,3.0,0,Cristhian,4.0,11,False,Unspecified injury - 75% chance of playing,2026-09-04T14:00:08.080310Z,5.5,500040.jpg,6.0,False,Mosquera,4.0,False,,d,1,3,12,29371,415,217932,43615,0.7,2.2,Mosquera,,200.0,2025-07-24,2004-06-27,False,p500040,168,0,0,2,0,0,0,0,0,0,0,0,52,24.6,2.0,0.0,2.7,10,3,0,10,2,0.00,0.01,0.01,0.53,,,,,,,[],,157,71,250,85,608,211,227,88,0.0,0.0,0.01,0.01,0.28,0.0,176,23,79,33,39,17,86,33,1.07,1.07,5.36,Arsenal,ARS
True,True,,,223340,0,0,0,0,26.1,-319,"[{'offset': 0, 'projected_percent': '25.3', 'likelihood': 2}, {'offset': 1, 'projected_percent': '21.1', 'likelihood': 2}, {'offset': 2, 'projected_percent': '16.9', 'likelihood': 1}]",,False,0,3,7.3,7.3,2,Bukayo,7.3,12,False,,,9.5,223340.jpg,7.3,False,Saka,11.2,False,,a,1,3,22,299931,54641,161411,24895,0.8,2.3,Saka,,241.0,2018-11-28,2001-09-05,False,p223340,246,2,0,2,1,0,0,0,0,0,0,4,95,83.8,34.1,77.0,19.5,6,12,4,22,3,1.53,0.35,1.88,0.74,2.0,,2.0,,1.0,,[],,6,5,66,45,10,6,7,6,0.56,0.0,0.13,0.69,0.27,0.37,4,3,15,6,16,7,38,14,1.1,0.73,8.05,Arsenal,ARS
True,True,,,204480,-1,1,-1,1,-1.9,-1405,"[{'offset': 0, 'projected_percent': '-3.3', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-11.4', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-19.5', 'likelihood': -1}]",,False,0,3,4.3,4.3,5,Declan,4.3,13,False,,,7.4,204480.jpg,4.3,False,Rice,14.0,False,,a,1,3,13,64876,7604,445071,38458,0.6,1.8,Rice,,241.0,2023-07-15,1999-01-14,False,p204480,241,0,1,2,1,0,0,0,0,0,0,0,51,30.8,34.0,2.0,6.7,10,11,3,24,3,0.11,0.33,0.44,0.74,1.0,,1.0,,,,[],,134,49,67,46,246,120,128,64,0.04,0.0,0.12,0.16,0.28,0.37,19,11,71,34,76,35,29,11,1.12,0.75,8.96,Arsenal,ARS
True,True,,,232413,0,0,-1,1,-48.0,-596,"[{'offset': 0, 'projected_percent': '-58.4', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-118.4', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-178.4', 'likelihood': -5}]",,False,0,3,0.7,0.7,0,Eberechi,0.7,14,False,,,6.4,232413.jpg,1.0,False,Eze,1.4,False,,a,1,3,2,15687,1700,92808,7744,0.1,0.3,Eze,,241.0,2025-08-23,1998-06-29,False,p232413,59,0,0,0,0,0,0,0,0,0,0,0,10,1.6,3.8,3.0,0.7,0,5,0,5,0,0.04,0.07,0.11,0.39,,,3.0,,,,[],,316,142,220,120,215,104,307,140,0.06,0.0,0.11,0.17,0.59,0.0,51,35,330,152,365,170,155,48,0.0,0.0,7.63,Arsenal,ARS
