id,web_name,team_name,team_short_name,element_type,now_cost,form,points_per_game,total_points,selected_by_percent,minutes,goals_scored,assists,clean_sheets,bonus,status
515,Gibbs-White,Nott'm Forest,NFO,3,7.5,8.8,5.0,179,7.0,3011,14,4,10,16,a
64,Watkins,Aston Villa,AVL,4,8.7,8.6,4.3,154,13.4,2743,14,4,9,23,a
517,Anderson,Nott'm Forest,NFO,3,5.6,7.2,4.8,178,7.6,3268,4,5,10,16,a
500,Osula,Newcastle,NEW,4,5.5,7.0,3.2,74,1.2,740,7,1,2,13,a
547,E.Le Fée,Sunderland,SUN,3,4.8,6.2,4.1,142,1.5,2840,5,6,10,13,a
706,Justin,Leeds,LEE,2,4.0,6.2,3.3,93,2.3,1803,2,1,6,9,a
387,Szoboszlai,Liverpool,LIV,3,7.0,6.0,4.5,158,13.2,3142,6,7,9,21,a
443,Shaw,Man Utd,MUN,2,4.5,6.0,2.9,107,1.0,3139,1,1,9,3,a
373,Virgil,Liverpool,LIV,2,6.0,5.8,4.7,173,30.2,3330,6,1,10,10,a
74,Truffert,Bournemouth,BOU,2,4.7,5.8,4.3,155,4.7,3198,1,4,11,18,a
418,Doku,Man City,MCI,3,6.5,5.8,4.2,117,6.5,1685,5,8,8,15,a
526,Igor Jesus,Nott'm Forest,NFO,4,5.9,5.8,3.1,112,2.4,2203,6,6,9,13,a
449,B.Fernandes,Man Utd,MUN,3,10.4,5.6,6.5,221,47.7,2975,8,23,6,38,a
72,Senesi,Bournemouth,BOU,2,5.2,5.6,4.8,169,21.0,3108,0,6,11,14,a
691,Calvert-Lewin,Leeds,LEE,4,5.8,5.6,4.1,140,13.3,2653,14,2,8,20,a
344,Bijol,Leeds,LEE,2,3.9,5.6,4.1,98,1.1,1819,1,3,5,6,a
163,Hinshelwood,Brighton,BHA,3,5.2,5.6,3.4,89,1.5,1663,4,5,7,2,a
807,Rayan,Bournemouth,BOU,3,5.4,5.6,4.8,62,1.7,955,5,2,5,3,a
783,Groß,Brighton,BHA,3,5.6,5.4,4.2,76,3.2,1546,1,6,6,10,a
430,Haaland,Man City,MCI,4,14.7,5.2,6.8,230,64.5,2863,26,8,13,40,a
47,Rogers,Aston Villa,AVL,3,7.4,5.2,4.6,169,21.2,3280,10,8,9,17,a
1,Raya,Arsenal,ARS,1,6.2,5.2,4.3,156,36.4,3240,0,0,18,11,a
83,O.Dango,Brentford,BRE,3,5.6,5.2,4.3,134,1.6,2181,7,8,6,16,a
354,Ampadu,Leeds,LEE,3,4.9,5.2,3.9,131,0.6,3029,1,4,8,11,a
698,Okafor,Leeds,LEE,3,5.5,5.2,3.9,109,1.3,1553,8,3,6,11,d
