id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,1
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,1
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,1
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,2
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,2
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,2
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,3
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,3
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,3
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,4
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,4
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,4
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,5
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,5
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,5
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,6
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,6
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,6
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,7
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,7
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,7
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,8
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,8
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,8
360,2562254,19,,1,,36,False,0,False,2026-05-10T15:30:00Z,Gameweek 36,False,3,9
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,9
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,9
