team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
7,Coventry City,COV,5,2.4,2,3,Nott'm Forest (A) | Newcastle (H) | Spurs (A) | Fulham (H) | Sunderland (H)
17,Newcastle,NEW,5,2.6,2,3,Hull City (H) | Coventry City (A) | Aston Villa (H) | Crystal Palace (A) | Everton (H)
8,Crystal Palace,CRY,5,2.8,2,3,Leeds (A) | Nott'm Forest (H) | Brighton (A) | Newcastle (H) | Spurs (A)
10,Fulham,FUL,5,2.8,2,4,Man Utd (H) | Ipswich Town (A) | Hull City (H) | Coventry City (A) | Aston Villa (A)
11,Hull City,HUL,5,2.8,2,3,Newcastle (A) | Everton (H) | Fulham (A) | Brentford (H) | Ipswich Town (H)
15,Man City,MCI,5,2.8,2,4,Sunderland (H) | Liverpool (A) | Ipswich Town (H) | Aston Villa (A) | Brighton (H)
18,Nott'm Forest,NFO,5,2.8,2,4,Coventry City (H) | Crystal Palace (A) | Arsenal (H) | Ipswich Town (A) | Brentford (A)
20,Sunderland,SUN,5,2.8,2,5,Man City (A) | Brighton (H) | Bournemouth (A) | Leeds (H) | Coventry City (A)
1,Arsenal,ARS,5,3.0,2,4,Brighton (A) | Leeds (H) | Nott'm Forest (A) | Everton (H) | Liverpool (A)
2,Aston Villa,AVL,5,3.0,2,4,Spurs (A) | Brentford (H) | Newcastle (A) | Man City (H) | Fulham (H)
12,Ipswich Town,IPS,5,3.0,2,5,Everton (A) | Fulham (H) | Man City (A) | Nott'm Forest (H) | Hull City (A)
3,Bournemouth,BOU,5,3.2,2,4,Liverpool (H) | Chelsea (A) | Sunderland (H) | Man Utd (A) | Leeds (H)
6,Chelsea,CHE,5,3.2,3,4,Brentford (A) | Bournemouth (H) | Everton (A) | Spurs (H) | Man Utd (H)
9,Everton,EVE,5,3.2,2,5,Ipswich Town (H) | Hull City (A) | Chelsea (H) | Arsenal (A) | Newcastle (A)
14,Liverpool,LIV,5,3.2,2,4,Bournemouth (A) | Man City (H) | Brentford (A) | Brighton (H) | Arsenal (H)
16,Man Utd,MUN,5,3.2,3,4,Fulham (A) | Spurs (H) | Leeds (A) | Bournemouth (H) | Chelsea (A)
19,Spurs,TOT,5,3.2,2,4,Aston Villa (H) | Man Utd (A) | Coventry City (H) | Chelsea (A) | Crystal Palace (H)
4,Brentford,BRE,5,3.4,2,4,Chelsea (H) | Aston Villa (A) | Liverpool (H) | Hull City (A) | Nott'm Forest (H)
13,Leeds,LEE,5,3.6,3,5,Crystal Palace (H) | Arsenal (A) | Man Utd (H) | Sunderland (A) | Bournemouth (A)
5,Brighton,BHA,5,3.8,3,5,Arsenal (H) | Sunderland (A) | Crystal Palace (H) | Liverpool (A) | Man City (A)
