team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
1,Arsenal,ARS,2,2.0,1,3,Burnley (H) | Crystal Palace (A)
9,Everton,EVE,2,2.5,2,3,Sunderland (H) | Spurs (A)
10,Fulham,FUL,2,2.5,2,3,Wolves (A) | Newcastle (H)
15,Newcastle,NEW,2,2.5,2,3,West Ham (H) | Fulham (A)
19,West Ham,WHU,2,2.5,2,3,Newcastle (A) | Leeds (H)
20,Wolves,WOL,2,2.5,2,3,Fulham (H) | Burnley (A)
18,Spurs,TOT,3,2.667,2,3,Leeds (H) | Chelsea (A) | Everton (H)
6,Brighton,BHA,2,3.0,3,3,Leeds (A) | Man Utd (H)
3,Burnley,BUR,2,3.0,1,5,Arsenal (A) | Wolves (H)
7,Chelsea,CHE,2,3.0,3,3,Spurs (H) | Sunderland (A)
11,Leeds,LEE,3,3.0,3,3,Spurs (A) | Brighton (H) | West Ham (A)
17,Sunderland,SUN,2,3.0,3,3,Everton (A) | Chelsea (H)
13,Man City,MCI,3,3.333,3,4,Crystal Palace (H) | Bournemouth (A) | Aston Villa (H)
4,Bournemouth,BOU,2,3.5,3,4,Man City (H) | Nott'm Forest (A)
5,Brentford,BRE,2,3.5,3,4,Crystal Palace (H) | Liverpool (A)
12,Liverpool,LIV,2,3.5,3,4,Aston Villa (A) | Brentford (H)
14,Man Utd,MUN,2,3.5,3,4,Nott'm Forest (H) | Brighton (A)
16,Nott'm Forest,NFO,2,3.5,3,4,Man Utd (A) | Bournemouth (H)
2,Aston Villa,AVL,2,4.0,3,5,Liverpool (H) | Man City (A)
8,Crystal Palace,CRY,3,4.0,3,5,Man City (A) | Brentford (A) | Arsenal (H)
