team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
7,Coventry City,COV,5,2.4,2,3,Brighton (H) | Nott'm Forest (A) | Newcastle (H) | Spurs (A) | Fulham (H)
8,Crystal Palace,CRY,5,2.6,2,3,Ipswich Town (H) | Leeds (A) | Nott'm Forest (H) | Brighton (A) | Newcastle (H)
17,Newcastle,NEW,5,2.6,2,3,Leeds (A) | Hull City (H) | Coventry City (A) | Aston Villa (H) | Crystal Palace (A)
1,Arsenal,ARS,5,2.8,2,3,Sunderland (A) | Brighton (A) | Leeds (H) | Nott'm Forest (A) | Everton (H)
6,Chelsea,CHE,5,2.8,2,3,Hull City (H) | Brentford (A) | Bournemouth (H) | Everton (A) | Spurs (H)
10,Fulham,FUL,5,2.8,2,4,Liverpool (A) | Man Utd (H) | Ipswich Town (A) | Hull City (H) | Coventry City (A)
14,Liverpool,LIV,5,2.8,2,4,Fulham (H) | Bournemouth (A) | Man City (H) | Brentford (A) | Brighton (H)
18,Nott'm Forest,NFO,5,3.0,2,4,Aston Villa (A) | Coventry City (H) | Crystal Palace (A) | Arsenal (H) | Ipswich Town (A)
2,Aston Villa,AVL,5,3.2,3,4,Nott'm Forest (H) | Spurs (A) | Brentford (H) | Newcastle (A) | Man City (H)
5,Brighton,BHA,5,3.2,2,4,Coventry City (A) | Arsenal (H) | Sunderland (A) | Crystal Palace (H) | Liverpool (A)
9,Everton,EVE,5,3.2,2,5,Spurs (A) | Ipswich Town (H) | Hull City (A) | Chelsea (H) | Arsenal (A)
11,Hull City,HUL,5,3.2,3,4,Chelsea (A) | Newcastle (A) | Everton (H) | Fulham (A) | Brentford (H)
12,Ipswich Town,IPS,5,3.2,2,5,Crystal Palace (A) | Everton (A) | Fulham (H) | Man City (A) | Nott'm Forest (H)
15,Man City,MCI,5,3.2,2,4,Man Utd (A) | Sunderland (H) | Liverpool (A) | Ipswich Town (H) | Aston Villa (A)
16,Man Utd,MUN,5,3.2,3,4,Man City (H) | Fulham (A) | Spurs (H) | Leeds (A) | Bournemouth (H)
19,Spurs,TOT,5,3.2,2,4,Everton (H) | Aston Villa (H) | Man Utd (A) | Coventry City (H) | Chelsea (A)
20,Sunderland,SUN,5,3.2,2,5,Arsenal (H) | Man City (A) | Brighton (H) | Bournemouth (A) | Leeds (H)
3,Bournemouth,BOU,5,3.4,2,4,Brentford (H) | Liverpool (H) | Chelsea (A) | Sunderland (H) | Man Utd (A)
4,Brentford,BRE,5,3.4,2,4,Bournemouth (A) | Chelsea (H) | Aston Villa (A) | Liverpool (H) | Hull City (A)
13,Leeds,LEE,5,3.4,2,5,Newcastle (H) | Crystal Palace (H) | Arsenal (A) | Man Utd (H) | Sunderland (A)
